Name	MOA	Target	Disease Area	Indication	Id	Phase
(R)-(-)-apomorphine	dopamine receptor agonist	ADRA2A, ADRA2B, ADRA2C, CALY, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A	neurology/psychiatry	Parkinson's Disease	BRD-K76022557-003-28-9, BRD-K76022557-003-02-7, BRD-K76022557-003-29-9, BRD-K76022557-001-03-9	Launched
(R)-(-)-rolipram	phosphodiesterase inhibitor	PDE4A, PDE4B, PDE4C, PDE4D, PDE5A			BRD-K75516118-001-04-1, BRD-K75516118-001-04-1, BRD-K75516118-001-05-9, BRD-K75516118-001-03-3, BRD-K75516118-001-03-3	Phase 1
(R)-baclofen	benzodiazepine receptor agonist	GABBR1, GABBR2			BRD-K62353271-001-04-7, BRD-K62353271-001-04-7, BRD-K62353271-001-02-1	Phase 3
(S)-(+)-rolipram	phosphodiesterase inhibitor	PDE4B, PDE4D			BRD-K65856711-001-05-9, BRD-K65856711-001-05-9, BRD-K65856711-001-03-6, BRD-K65856711-001-03-6, BRD-K65856711-001-03-6, BRD-K65856711-001-04-4	Phase 1
[sar9,met(o2)11]-substance-p	tachykinin antagonist	TACR1			BRD-K89787693-001-02-9	Preclinical
A-1070722	glycogen synthase kinase inhibitor	GSK3A, GSK3B			BRD-K70329400-001-02-5, BRD-K70329400-001-02-5, BRD-K70329400-001-01-7, BRD-K70329400-001-01-7, BRD-K70329400-001-01-7, BRD-K70329400-001-01-7	Preclinical
A-1120	retinoid receptor ligand	RBP4			BRD-K59060513-001-02-5	Preclinical
A-317491	purinergic receptor antagonist	P2RX3			BRD-K38019854-323-01-4, BRD-K38019854-001-01-6, BRD-K38019854-001-01-6	Preclinical
A-33903					BRD-A40302156-001-01-9	Phase 2
A-366	histone lysine methyltransferase inhibitor	EHMT1, EHMT2			BRD-K06182768-001-06-4, BRD-K06182768-001-06-4, BRD-K06182768-001-02-3, BRD-K06182768-001-03-1, BRD-K06182768-001-01-5, BRD-K06182768-001-04-9	Preclinical
A-381393	dopamine receptor antagonist				BRD-K00005339-001-01-9	Preclinical
A-412997	dopamine receptor agonist	DRD4			BRD-K62066682-300-02-9, BRD-K62066682-300-02-9, BRD-K62066682-300-01-0, BRD-K62066682-300-01-0	Preclinical
A-438079	purinergic receptor antagonist	P2RX7			BRD-K13223831-003-01-7, BRD-K13223831-003-02-9, BRD-K13223831-003-02-9	Preclinical
A-485	histone acetyltransferase inhibitor				BRD-K30233223-001-04-9, BRD-K30233223-001-04-9	Preclinical
A-582941	nicotinic receptor agonist	CHRNA7			BRD-K79743788-001-01-2, BRD-K79743788-001-02-9	Preclinical
A-61603	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D			BRD-K00004225-004-01-9, BRD-K00004225-004-01-9	Preclinical
A-674563	AKT inhibitor	AKT1, PKIA, PRKACA			BRD-K78177893-003-03-9, BRD-K78177893-001-02-4, BRD-K78177893-001-02-4	Preclinical
A-7	calmodulin antagonist				BRD-K03301001-003-03-3, BRD-K03301001-003-03-3, BRD-K03301001-003-03-3, BRD-K03301001-003-02-5, BRD-K03301001-003-02-5, BRD-K03301001-003-04-9	Preclinical
A-769662	AMPK activator				BRD-K41918892-001-06-7, BRD-K41918892-001-05-9, BRD-K41918892-001-09-9	Preclinical
A-784168	transient receptor potential channel antagonist	TRPV1			BRD-K87665527-001-01-3, BRD-K87665527-001-02-9	Preclinical
A-803467	sodium channel blocker	SCN10A			BRD-K28570407-001-04-6, BRD-K28570407-001-02-0	Preclinical
A-839977	purinergic receptor antagonist	P2RX7			BRD-K60427831-001-01-0, BRD-K60427831-001-02-9	Preclinical
A-867744	acetylcholine receptor allosteric modulator	CHRNA3, CHRNA4, CHRNA7			BRD-K33059059-001-02-9, BRD-K33059059-001-02-9, BRD-K33059059-001-01-0, BRD-K33059059-001-01-0, BRD-K33059059-001-01-0	Preclinical
A-887826	sodium channel blocker	SCN10A			BRD-K20239555-001-01-2, BRD-K20239555-001-02-9	Preclinical
A-922500	diacylglycerol O acyltransferase inhibitor	DGAT1			BRD-K81614372-001-02-1, BRD-K81614372-001-04-9, BRD-K81614372-001-03-9	Preclinical
A-939572	stearoyl-CoA desaturase inhibitor	SCD			BRD-K99308908-001-02-9, BRD-K99308908-001-02-9, BRD-K99308908-001-01-5	Preclinical
A-967079	transient receptor potential channel antagonist	TRPA1			BRD-K70744942-001-02-9, BRD-K70744942-001-01-2	Preclinical
A-987306	histamine receptor antagonist	ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2			BRD-K68982262-001-01-4, BRD-K68982262-001-02-9	Preclinical
AA-29504	GABA receptor positive allosteric modulator	GABRA1, GABRA4, GABRB3			BRD-K13944729-001-01-7, BRD-K13944729-001-02-9, BRD-K13944729-001-02-9	Preclinical
AAI101	lactamase inhibitor				BRD-K00003450-001-01-9	Phase 3
AB-423	HBV capsid assembly inhibitor				BRD-K00003109-001-01-9	Preclinical
abafungin	sterol methyltransferase inhibitor				BRD-K77432251-001-01-2	Phase 3
abamectin	benzodiazepine receptor agonist	GABBR1, GABBR2	infectious disease	gastrointestinal parasites	BRD-K00004970-001-01-9	Launched
abametapir	metalloproteinase inhibitor	MMP9			BRD-K65498798-001-01-7, BRD-K65498798-001-01-7	Phase 3
abarelix	gonadotropin releasing factor hormone receptor antagonist	GNRHR			BRD-K00003158-001-01-9	Phase 3
ABBV-744	bromodomain inhibitor				BRD-K00003108-001-01-9	Phase 1
ABC-294640	sphingosine kinase inhibitor	SPHK2			BRD-K01825984-001-01-9	Phase 2
abemaciclib	CDK inhibitor	CDK4, CDK6	oncology	breast cancer	BRD-K33622447-066-01-9, BRD-K33622447-066-01-9, BRD-K33622447-066-01-9, BRD-K33622447-066-01-9, BRD-K33622447-066-01-9, BRD-K33622447-066-01-9, BRD-K33622447-001-03-9, BRD-K33622447-001-03-9	Launched
ABT-072	RNA polymerase inhibitor				BRD-K00004730-001-01-9	Phase 2
ABT-202	acetylcholine receptor agonist				BRD-A29844814-300-01-5	Phase 1
ABT-239	histamine receptor antagonist	HRH1, HRH2, HRH3			BRD-K22749967-046-02-3	Phase 1
ABT-491	platelet activating factor receptor antagonist	PTAFR			BRD-K97233161-003-01-5, BRD-K97233161-003-01-5, BRD-K97233161-003-02-3	Phase 1
ABT-639	calcium channel blocker	CACNA1G, CACNA1H, CACNA1I			BRD-K11792081-001-01-4, BRD-K11792081-001-01-4	Phase 2
ABT-702	adenosine kinase inhibitor	ADK			BRD-K36021395-300-03-2, BRD-K36021395-300-02-4	Preclinical
ABT-724	dopamine receptor agonist	DRD4			BRD-K37714784-305-02-1, BRD-K37714784-305-02-1, BRD-K37714784-305-08-9, BRD-K37714784-305-08-9	Phase 2
ABT-737	BCL inhibitor	BCL2, BCL2L1, BCL2L2			BRD-K56301217-001-10-8, BRD-K56301217-001-10-8, BRD-K56301217-001-10-8, BRD-K56301217-001-10-8, BRD-K56301217-001-07-4, BRD-K56301217-001-07-4, BRD-K56301217-001-07-4, BRD-K56301217-001-01-7, BRD-K56301217-001-01-7, BRD-K56301217-001-01-7, BRD-K56301217-001-01-7, BRD-K56301217-001-01-7, BRD-K56301217-001-01-7, BRD-K56301217-001-01-7, BRD-K56301217-001-01-7, BRD-K56301217-001-12-4, BRD-K56301217-001-12-4	Phase 1/Phase 2
ABT-751	tubulin polymerization inhibitor	TUBB			BRD-K91623615-001-06-8, BRD-K91623615-001-05-0, BRD-K91623615-001-05-0, BRD-K91623615-001-05-0, BRD-K91623615-001-05-0, BRD-K91623615-001-05-0, BRD-K91623615-001-05-0, BRD-K91623615-001-09-9, BRD-K91623615-001-04-3	Phase 2
ABX-1431	monoacylglycerol lipase inhibitor				BRD-K00004603-001-01-9	Phase 2
ABX464	antiviral				BRD-K00003394-001-01-9	Phase 2
AC-186	estrogen receptor agonist	ESR2			BRD-K53788420-001-02-9, BRD-K53788420-001-01-1, BRD-K53788420-001-01-1	Preclinical
AC-261066	retinoid receptor agonist	RARB			BRD-K31144453-001-02-2, BRD-K31144453-001-03-9	Preclinical
AC-264613	PAR agonist	F2RL1			BRD-K81548480-001-02-0, BRD-K81548480-001-01-2, BRD-K81548480-001-01-2, BRD-K81548480-001-03-9	Preclinical
AC-55541	PARP inhibitor	PARP2			BRD-A27911617-001-01-7, BRD-A27911617-001-01-7	Preclinical
AC-55649	retinoid receptor agonist	RARA, RARB			BRD-K93176058-001-04-4, BRD-K93176058-001-03-6, BRD-K93176058-001-05-9, BRD-K93176058-001-05-9	Preclinical
AC-710	PDGFR tyrosine kinase receptor inhibitor	CSF1R, FLT3, KIT, PDGFRA, PDGFRB			BRD-K15819326-001-02-9, BRD-K15819326-001-02-9, BRD-K15819326-001-01-6	Preclinical
AC-7954-(+/-)	urotensin receptor agonist	UTS2R			BRD-A49544621-003-03-6, BRD-A49544621-003-02-8, BRD-A49544621-003-02-8, BRD-A49544621-003-04-9	Preclinical
acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitor	BTK	hematologic malignancy	mantle cell lymphoma (MCL)	BRD-K64034691-001-01-9, BRD-K64034691-001-01-9, BRD-K64034691-001-01-9, BRD-K64034691-001-01-9	Launched
acalisib	PI3K inhibitor	PIK3CB, PIK3CD			BRD-K92517771-001-01-2, BRD-K92517771-001-01-2	Phase 1
ACDPP	glutamate receptor antagonist	GRM5			BRD-K68633617-003-02-9, BRD-K68633617-003-02-9, BRD-K68633617-003-03-9	Preclinical
acebilustat	leukotriene inhibitor				BRD-K00003255-001-01-9	Phase 2
acebutolol	adrenergic receptor antagonist	ADRB1	cardiology	hypertension, ventricular arrhythmias	BRD-A29260609-003-26-0, BRD-A29260609-003-26-0, BRD-A29260609-003-26-0, BRD-A29260609-003-25-2	Launched
acecainide	polarization inhibitor	SCN5A			BRD-K07753030-003-17-6, BRD-K07753030-003-17-6, BRD-K07753030-003-17-6	Phase 3
aceclidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	ophthalmology	glaucoma	BRD-K01825000-001-02-9	Launched
aceclofenac	prostanoid receptor antagonist	PTGS2	rheumatology	rheumatoid arthritis, ankylosing spondylitis, osteoarthritis, periarthritis, lumbago, ischiadynia	BRD-K68538666-001-14-9, BRD-K68538666-001-12-3, BRD-K68538666-001-12-3, BRD-K68538666-001-12-3	Launched
acedapsone			infectious disease	leprosy	BRD-K97417064-001-02-4, BRD-K97417064-001-05-9	Launched
acedoben					BRD-K47195926-001-06-6, BRD-K47195926-001-07-9	Phase 2
acefylline	adenosine receptor agonist	ADORA1	pulmonary	asthma	BRD-K44004064-001-08-9, BRD-K44004064-001-07-3	Launched
aceglutamide			gastroenterology	peptic ulcer disease (PUD)	BRD-K13619941-001-02-9, BRD-K13619941-001-02-9, BRD-K13619941-213-01-8	Launched
acelarin	anticancer agent				BRD-K00003531-001-01-9	Phase 2/Phase 3
acemetacin	cyclooxygenase inhibitor	PTGS1, PTGS2	rheumatology	osteoarthritis	BRD-K67563174-001-19-9, BRD-K67563174-001-19-9, BRD-K67563174-001-19-9, BRD-K67563174-001-17-6, BRD-K67563174-001-16-8	Launched
aceneuramic-acid		CES1, SELE, SELP			BRD-K36262466-001-06-3	Phase 3
acenocoumarol	vitamin K antagonist	VKORC1	hematology	deep vein thrombosis (DVT)	BRD-A65051990-001-12-9, BRD-A65051990-001-20-9	Launched
